,new_timestamp,resource_type,SARA,max,Derate_Est,Curtailed MW,SARA_Derate_Est,Out + Derate based on SARA,Out + Derate based on Max
0,2021-02-11 00:00:23,ALL,9331.658000000001,15649.199999999999,35584.60000000003,446.3571569655313,9051.207000000002,18382.865000000005,51233.800000000025
1,2021-02-11 00:00:23,Coal,2109.0,2153.6,1139.8000000000002,0.2717551959361231,1871.0,3980.0,3293.4
2,2021-02-11 00:00:23,Gas,6175.6,7496.400000000002,6113.299999999999,445.9821778545004,3077.3999999999996,9253.0,13609.7
3,2021-02-11 00:00:23,Hydro,102.0,107.5,6.5,0.0015967743912961296,13.899999999999999,115.9,114.0
4,2021-02-11 00:00:23,Solar,0.0,195.7,4785.400000000001,3e-05,250.83599999999998,250.83599999999998,4981.1
5,2021-02-11 00:00:23,Storage,0.0,151.5,10.100000000000001,0.10159714070353648,0.0,0.0,161.6
6,2021-02-11 00:00:23,Wind,945.058,5544.5,23508.80000000002,0.0,3819.671,4764.728999999999,29053.30000000002
7,2021-02-11 00:15:15,ALL,9230.672000000002,14903.9,37939.90000000002,0.0006008764885804032,9900.896,19131.568000000003,52843.800000000025
8,2021-02-11 00:15:15,Coal,2109.0,2153.6,1439.8000000000002,6.821480269536551e-07,2171.0,4280.0,3593.4
9,2021-02-11 00:15:15,Gas,6175.6,7496.400000000002,6437.2,0.0005701346236008931,3384.8999999999996,9560.5,13933.600000000002
10,2021-02-11 00:15:15,Hydro,102.0,107.5,6.5,5.554974169541538e-08,13.899999999999999,115.9,114.0
11,2021-02-11 00:15:15,Solar,0.0,195.7,4785.400000000001,3e-05,250.83599999999998,250.83599999999998,4981.1
12,2021-02-11 00:15:15,Storage,0.0,151.5,10.100000000000001,4.167210861105719e-09,0.0,0.0,161.6
13,2021-02-11 00:15:15,Wind,844.0719999999999,4799.2,25240.400000000016,0.0,4062.060000000001,4906.1320000000005,30039.600000000017
14,2021-02-11 00:30:15,ALL,9139.472000000002,14823.899999999998,37969.50000000001,0.0012736132878998717,10004.59,19144.062,52793.40000000001
15,2021-02-11 00:30:15,Coal,1273.0,1296.6,1439.8000000000002,0.0,2171.0,3444.0,2736.4
16,2021-02-11 00:30:15,Gas,6920.400000000001,8273.400000000001,6447.499999999999,0.0012436101384452058,3409.1000000000004,10329.5,14720.900000000001
17,2021-02-11 00:30:15,Hydro,102.0,107.5,6.5,0.0,13.899999999999999,115.9,114.0
18,2021-02-11 00:30:15,Solar,0.0,195.7,4785.400000000001,3e-05,250.83599999999998,250.83599999999998,4981.1
19,2021-02-11 00:30:15,Storage,0.0,151.5,10.100000000000001,3.1494546658128453e-09,0.0,0.0,161.6
20,2021-02-11 00:30:15,Wind,844.0719999999999,4799.2,25259.000000000015,0.0,4140.854000000001,4984.926000000001,30058.200000000015
21,2021-02-11 00:45:16,ALL,9139.472000000002,14823.899999999998,37902.00000000004,0.01010785069971078,10103.627000000002,19243.099000000002,52725.90000000004
22,2021-02-11 00:45:16,Coal,1273.0,1296.6,1439.8000000000002,0.0,2171.0,3444.0,2736.4
23,2021-02-11 00:45:16,Gas,6920.400000000001,8273.400000000001,6455.5,7.785069971077974e-05,3407.2,10327.6,14728.900000000001
24,2021-02-11 00:45:16,Hydro,102.0,107.5,6.5,0.0,13.899999999999999,115.9,114.0
25,2021-02-11 00:45:16,Solar,0.0,195.7,4785.400000000001,3e-05,250.83599999999998,250.83599999999998,4981.1
26,2021-02-11 00:45:16,Storage,0.0,151.5,13.0,0.0,0.0,0.0,164.5
27,2021-02-11 00:45:16,Wind,844.0719999999999,4799.2,25181.20000000001,0.01,4242.391,5086.463,29980.400000000012
28,2021-02-11 01:00:21,ALL,9059.872000000001,14413.399999999998,38173.0,966.2552110035715,10145.298000000003,19205.170000000006,52586.399999999994
29,2021-02-11 01:00:21,Coal,1273.0,1296.6,1429.8000000000002,0.26923298984036137,2161.0,3434.0,2726.4
30,2021-02-11 01:00:21,Gas,6920.400000000001,8273.400000000001,6438.700000000001,957.8082222677097,3396.0999999999995,10316.5,14712.100000000002
31,2021-02-11 01:00:21,Hydro,102.0,107.5,1.5,0.0015816267243820015,4.0,106.0,109.0
32,2021-02-11 01:00:21,Solar,0.0,195.7,4785.400000000001,3e-05,250.83599999999998,250.83599999999998,4981.1
33,2021-02-11 01:00:21,Storage,0.0,151.5,13.0,0.0015816192970865006,0.0,0.0,164.5
34,2021-02-11 01:00:21,Wind,764.472,4388.700000000001,25483.900000000016,8.1745625,4314.962000000001,5079.434000000001,29872.600000000017
35,2021-02-11 01:15:14,ALL,9059.872000000001,14189.9,38095.40000000002,1072.3466462075285,10079.458000000002,19139.33,52285.300000000025
36,2021-02-11 01:15:14,Coal,1273.0,1296.6,1429.8000000000002,0.5397280841800125,2161.0,3434.0,2726.4
37,2021-02-11 01:15:14,Gas,6920.400000000001,8273.400000000001,6426.599999999999,1013.690035475579,3380.5,10300.900000000001,14700.0
38,2021-02-11 01:15:14,Hydro,102.0,107.5,1.5,0.0031709301086055852,4.0,106.0,109.0
39,2021-02-11 01:15:14,Solar,0.0,195.7,4785.400000000001,3e-05,250.83599999999998,250.83599999999998,4981.1
40,2021-02-11 01:15:14,Storage,0.0,151.5,13.600000000000001,9.422170717660974,0.0,0.0,165.1
41,2021-02-11 01:15:14,Wind,764.472,4165.200000000001,25418.30000000001,48.691511000000006,4265.222,5029.6939999999995,29583.50000000001
42,2021-02-11 01:30:15,ALL,9059.872000000001,14189.9,38070.90000000004,440.50271134929324,10154.281999999996,19214.153999999995,52260.80000000004
